Date;Open;High;Low;Close;Volume;Return;MA7;MA21;MA50;MA200;Volatility30;Momentum7;Cluster_3;Regime;Direction_Pred;Prob_Up;Signal;Pred_1d;Pred_30d;Pred_365d;Pred_7d;Pred_90d;PC1;PC2
2019-12-28;7289.03;7399.04;7286.91;7317.99;21365673026;0.003827;7330.278669;7239.293062;7621.853818;9324.885498;0.025997;0.018742;0.0;Bull;1;0.544;📈 Up;7338.57;8023.16;622.03;7431.36;11109.93;-0.707;-0.059
2019-12-29;7317.65;7513.95;7279.87;7422.65;22445257702;0.014302;7317.573521;7232.545805;7594.035234;9321.269475;0.02503;-0.011515;0.0;Bull;1;0.534;📈 Up;7450.49;8243.2;619.6;7504.46;11338.18;-0.671;-0.066
2019-12-30;7420.27;7454.82;7276.31;7293.0;22874131672;-0.017468;7308.625907;7227.407506;7558.784609;9316.579832;0.02483;-0.00822;0.0;Bull;1;0.559;📈 Up;7285.62;8058.28;618.6;7374.23;11264.41;-0.581;-0.683
2019-12-31;7294.44;7335.29;7169.78;7193.6;21167946112;-0.013629;7290.206892;7223.382719;7527.50083;9309.078662;0.024709;-0.01735;0.0;Bull;1;0.557;📈 Up;7187.53;7876.3;618.6;7252.45;10778.6;-0.576;-0.672
2020-01-01;7194.89;7254.33;7174.94;7200.17;18565664997;0.000914;7279.495257;7222.561151;7495.191074;9300.887659;0.024588;-0.009966;0.0;Bull;1;0.547;📈 Up;7205.96;7758.72;618.68;7252.7;10280.6;-0.629;-0.324
2020-01-02;7202.55;7212.16;6935.27;6985.47;20802083465;-0.029819;7243.281459;7210.291434;7458.735225;9290.842568;0.025173;-0.034811;0.0;Bull;1;0.568;📈 Up;6958.53;7687.07;618.6;7025.32;10465.65;-0.509;-1.13
2020-01-03;6984.43;7413.72;6915.0;7344.88;28111481032;0.051452;7251.109445;7213.872373;7431.471016;9280.965227;0.026889;0.009579;0.0;Bull;1;0.503;📈 Up;7424.51;8735.6;619.6;7559.48;12693.46;-0.852;0.832
2020-01-04;7345.38;7427.39;7309.51;7410.66;18444271275;0.008955;7264.347517;7227.490606;7409.844307;9272.609697;0.026478;0.014707;0.0;Bull;1;0.541;📈 Up;7423.6;8115.3;619.63;7522.86;10654.81;-0.729;0.012
2020-01-05;7410.45;7544.5;7400.54;7411.32;19725074095;8.9e-05;7262.728167;7239.824684;7387.055439;9263.298677;0.026362;0.000494;0.0;Bull;1;0.547;📈 Up;7438.94;8222.24;618.68;7549.76;10864.2;-0.679;-0.271
2020-01-06;7410.45;7781.87;7409.29;7769.22;23276261598;0.048291;7330.760184;7279.669387;7370.880312;9254.508972;0.027815;0.066253;0.0;Bull;1;0.51;📈 Up;7842.84;8991.56;625.48;8035.44;12400.9;-0.955;1.181
