Date,Open,High,Low,Close,Volume,Return,MA7,MA21,MA50,MA200,Volatility30,Momentum7
2021-01-10,40254.22,41420.19,35984.63,38356.44,79980747690,-0.0472,37366.91,30432.34,24033.65,14692.32,0.0378,0.1667
2021-01-11,38346.53,38346.53,30549.6,35566.66,123320567399,-0.0727,37880.44,31040.13,24377.58,14823.82,0.0417,0.1187
2021-01-12,35516.36,36568.53,32697.98,33922.96,74773277909,-0.0462,37870.52,31522.99,24688.76,14947.62,0.0436,0.0093
2021-01-13,33915.12,37599.96,32584.67,37316.36,69364315979,0.1,37940.8,32193.23,25052.94,15088.98,0.0458,0.026
2021-01-14,37325.11,39966.41,36868.56,39187.33,63615990033,0.0501,37914.56,32929.01,25462.04,15239.2,0.046,0.007
2021-01-15,39156.71,39577.71,34659.59,36825.37,67760757881,-0.0603,37347.09,33508.08,25855.54,15377.37,0.0464,-0.0895
2021-01-16,36821.65,37864.37,35633.55,36178.14,57706187875,-0.0176,36764.75,33971.94,26236.93,15512.57,0.0459,-0.0938
2021-01-17,36163.65,36722.35,34069.32,35791.28,52359854336,-0.0107,36398.3,34425.23,26598.41,15645.39,0.0461,-0.0573
2021-01-18,35792.24,37299.29,34883.84,36630.07,49511702429,0.0234,36550.22,34879.77,26967.46,15782.92,0.0461,0.0388
2021-01-19,36642.23,37755.89,36069.8,36069.8,57244195486,-0.0153,36856.91,35294.4,27296.34,15917.83,0.046,0.0698
2021-01-20,36050.11,36378.33,33570.48,35547.75,66834573161,-0.0145,36604.25,35613.77,27631.24,16049.91,0.0456,-0.0447
2021-01-21,35549.4,35552.68,30250.75,30825.7,75643067688,-0.1328,35409.73,35700.63,27863.73,16158.67,0.0528,-0.2277
2021-01-22,30817.62,33811.85,28953.37,33005.76,77207272511,0.0707,34864.07,35873.56,28134.93,16276.82,0.0535,-0.0967
2021-01-23,32985.76,33360.98,31493.16,32067.64,48354737975,-0.0284,34276.86,35870.72,28402.29,16390.9,0.054,-0.1076
2021-01-24,32064.38,32944.01,31106.69,32289.38,48643830599,0.0069,33776.59,35847.26,28665.0,16505.2,0.0538,-0.09
2021-01-25,32285.8,34802.74,32087.79,32366.39,59897054838,0.0024,33167.49,35866.05,28925.42,16620.64,0.0525,-0.111
2021-01-26,32358.61,32794.55,31030.27,32569.85,60255421470,0.0063,32667.5,35798.31,29192.98,16737.1,0.0525,-0.0894
2021-01-27,32564.03,32564.03,29367.14,30432.55,62576762015,-0.0656,31936.75,35493.93,29435.21,16843.06,0.054,-0.1406
2021-01-28,30441.04,33858.31,30023.21,33466.1,76517157706,0.0997,32313.95,35212.75,29733.46,16964.01,0.0567,0.0919
2021-01-29,34318.67,38406.26,32064.81,34316.39,117894572511,0.0254,32501.18,34904.12,30054.48,17089.37,0.0561,0.0466
2021-01-30,34295.93,34834.71,32940.19,34269.52,65141828798,-0.0014,32815.74,34619.12,30378.7,17214.5,0.0561,0.0737
2021-01-31,34270.88,34288.33,32270.18,33114.36,52754542671,-0.0337,32933.59,34369.49,30664.91,17334.11,0.0566,0.0331
2021-02-01,33114.58,34638.21,32384.23,33537.18,61400400660,0.0128,33100.85,34272.85,30952.81,17456.13,0.0541,0.0434
